statement_id,text,status,is_seed,agrees,disagrees,passes,created_at
1,China's military pressure on Taiwan is rising fast; Taiwan must visibly strengthen deterrence within a decade.,approved,1,74,21,18,2026-09-01T04:18:08.594Z
2,Funding large-scale arms procurement through a special (debt-financed) budget is an acceptable fiscal arrangement.,approved,1,51,53,9,2026-09-01T04:18:08.594Z
3,"Procurement should prioritize proven, off-the-shelf US equipment to shorten the time to combat readiness.",approved,1,54,42,17,2026-09-01T04:18:08.594Z
4,"Rather than importing at scale, more budget should go to domestically built weapons and the local defense industry.",approved,1,77,18,18,2026-09-01T04:18:08.594Z
5,"Asymmetric capabilities (mobile missiles, drones, sea mines) deserve priority over large platforms (fighter jets, large warships).",approved,1,64,31,18,2026-09-01T04:18:08.594Z
6,"A major defense expansion would crowd out social welfare, long-term care, and education spending beyond what society can bear.",approved,1,45,46,22,2026-09-01T04:18:08.594Z
7,Taiwan's defense budget should reach at least 3% of GDP before 2030.,approved,1,62,26,25,2026-09-01T04:18:08.594Z
8,Too much of major procurement sits in classified budgets; the legislature's real oversight is insufficient.,approved,1,68,28,17,2026-09-01T04:18:08.594Z
9,"An independent audit and cost-effectiveness review should be established, publishing an unclassified report for every case.",approved,1,92,9,12,2026-09-01T04:18:08.594Z
10,Improving pay and training for volunteer forces and reservists is more urgent than buying new equipment.,approved,1,75,17,21,2026-09-01T04:18:08.594Z
11,"Whole-of-society resilience (civil defense training, critical infrastructure protection, strategic stockpiles) should be funded alongside procurement.",approved,1,95,6,12,2026-09-01T04:18:08.594Z
12,Restoring institutionalized cross-strait dialogue would reduce the risk of war more than buying more arms.,approved,1,53,51,9,2026-09-01T04:18:08.594Z
13,More procurement will fuel an arms race and actually make the Taiwan Strait less safe.,approved,1,38,60,16,2026-09-01T04:18:08.594Z
14,Pricing and delivery delays in US arms sales are serious; stronger negotiation and compensation mechanisms are needed.,approved,1,74,21,18,2026-09-01T04:18:08.594Z
15,Highly specialized issues like national defense are not suitable for referendums.,approved,1,43,51,19,2026-09-01T04:18:08.594Z
16,"Given chronic delivery delays, the budget should first improve the readiness of existing equipment and ammunition stockpiles.",approved,1,74,24,15,2026-09-01T04:18:08.594Z
17,"The special budget should be reviewed in phases, with each tranche released based on execution performance.",approved,1,74,26,13,2026-09-01T04:18:08.594Z
18,Procurement is a necessary investment in US-Taiwan trust; Taiwan's security ultimately depends on US commitments.,approved,1,68,29,16,2026-09-01T04:18:08.594Z
19,"Social resilience and economic strength, more than military hardware, are the real foundation of Taiwan's security.",approved,1,67,16,30,2026-09-01T04:18:08.594Z
20,"Wartime stockpiles of ammunition, energy, and food should take priority over new large platforms.",approved,1,66,17,30,2026-09-01T04:18:08.594Z
21,The government should publish the concrete procurement list and priorities before the special budget goes to review.,approved,1,87,10,16,2026-09-01T04:18:08.594Z
22,The results of conscription and reservist reform should be part of evaluating overall defense investment.,approved,1,82,13,18,2026-09-01T04:18:08.594Z
23,Technology transfer and industrial cooperation clauses should be a required condition of every foreign arms purchase.,approved,1,75,18,20,2026-09-01T04:18:08.594Z
24,Opposition parties cutting or freezing the defense budget in the legislature is irresponsible.,approved,1,51,50,12,2026-09-01T04:18:08.594Z
